video_id,time,author,text
bvlzQvdgqLU,1 dzień temu,@mandoka.19,Druga tura bez Bążura.
bvlzQvdgqLU,1 dzień temu,@Bimbam458,"---------------Druga tura bez Bążura --------------------
---------------‐-------------------------------------------------------"
P1VIeoKuv3k,2 dni temu,@zdzisiutaranaga4538,Druga tura bez bążura
JMcE6H-m-os,2 dni temu,@MarekMustowiak-jm3gd,Druga tura bez bążura
CuCuGOvaOyk,4 dni temu,@angiebunny,DRUGA TURA BEZ BĄŻURA 🎉🎉🎉❤❤
j3doIOrx7JU,10 godzin temu,@dupakropkaosiem,"No i zepsuł hasło ""druga tura bez Bążura""..."
acqYOuWJ2XE,5 dni temu,@mrclwwy,Druga tura bez Bążura!!
3isnAJHon78,3 tygodnie temu (edytowany),@pawezajac5998,Brawo 😂 wyszło to wam !!! Cała PrawdA Brawo ! Druga tura bez bążura 😂 18 Maja głosujmy na wszystkich byle nie Bążura😂 Dajmy Polsce się odrodzić i  odetchnąć 🫡
gE0laXVB0qw,5 dni temu,@Saliusz_Achilles,Druga tura bez bążura!
gE0laXVB0qw,5 dni temu,@AlicjaChruśnik," @ASLOHORACY  Chyba nie jest jednak tak źle... Jakiej ""części mózgu"" brakuje np. Bartoszewiczowi? Albo Jakubiakowi? Albo Wochowi?... Nie będę wszystkich ze ""szczęśliwej siódemki"" wymieniać. Najważniejsze, żeby NIE kierować się sondażami! W Rumunii Simion (jeśli nie przekręciłam nazwiska) miał chyba ok. 30%, a w rezultacie zdobył ponad 40%. 💯 że tak samo są zawyżane sondaże Trzaskowskiego i zaniżane ""niewłaściwych"" kandydatów. Ja to już gdzieś napisałam. Gdyby wybory były rzeczywiście uczciwe (czyt. uczciwie policzone głosy, ale także równy dostęp do głównych mediów czy nie usunięcie kompromitującego wywiadu Trzaskowskiego u Rymanowskiego) to Trzaskowski by nawet nie wszedł do drugiej tury (""druga tura bez bążura""), tak jak to się stało ostatnio w Rumunii, gdzie kandydat rządowy nie dostał się do drugiej tury. Niestety, nie wierzę, że w Polsce taka sytuacja się powtórzy, co NIE znaczy, że mamy zostać w domu, bo nasz głos ""będzie zmarnowany"". Tego nie możemy zawczasu wiedzieć. Harris także miała nie wiadomo jakie sondaże, ale była dokładnie tak samo miałka czy ""bezpłciowa"" (co chyba nawet do jej ideologii pasuje 😂) ale elektorat Trumpa się zmobilizował i już nie mogli po raz drugi go oszukać. A jakie sondaże miał u nas Komorowski?... OK, poszłam za Twoim przykładem i trochę się rozpisałam. Za Jakubiakiem: ""w pierwszej turze głosujemy sercem, a w drugiej - rozumem"". Amen 🙏"
SiwqqXrl4Tw,7 dni temu,@Chr0me1989,Druga tura bez bążura!
kNOy3z2kl68,1 miesiąc temu,@krzysztofkajak1823,Druga tura bez BĄŻURa 🤷
-zVa1ibe11c,1 miesiąc temu,@piotrviatorus5109,"""Druga tura bez bążura"" :face-blue-smiling:"
SK8j0z_pUgg,1 miesiąc temu,@arksen1712,Druga tura bez Bążura?
VMmhsHJ69To,2 tygodnie temu,@ObsydianXshinsoo,"Wypad z bążurem, klapa kompletna HAHA druga tura bez bążura"
m6F74qbTzpw,7 dni temu,@mariog-yz1bp,Druga tura bez bążura 😂
mDGdhM32fPE,1 miesiąc temu,@golkiper1989,druga tura bez bążura 🙏
e8XqrdckYCw,2 tygodnie temu,@GacekWielkouch,"JAKI TAM ""PANIE"" 
Chihuahua panem ? ... no bez jaj 😆😆😆
By być panem trzeba być Polakiem ; mieć honor , aparycję i charyzmę ...
nie można być moralnym miękiszonem i ujadać jak chihuahua 😊 
... By być prezydentem Polaków nie można płakać ; ani własnego kobiciska na wojnę wysyłać .

DRUGA TURA BEZ BĄŻURA ! 😊.  Polubiłem to hasło 😊"
ITOoSsfuYY0,2 tygodnie temu,@marioshaman6920,Druga tura bez Bążura!!!!:face-blue-smiling:
AB5A2kMUpEo,1 miesiąc temu,@robertsadren3208,Druga tura bez bążura.
AB5A2kMUpEo,1 miesiąc temu,@marcinkmieciak5971,Druga tura bez bążura!!!
5EBJA-wBN-c,1 miesiąc temu,@piotrviatorus5109,"""Druga tura bez bążura"" :face-blue-smiling:"
PC2lqAnXzvA,1 miesiąc temu,@slawekslaw7219,Druga tura bez Bążura.
XBv-L_EY4nw,1 miesiąc temu,@piotrviatorus5109,"""Druga tura bez bążura"" :face-blue-smiling:"
WM64yHBSQ7w,1 miesiąc temu,@sonski77,Debata jak i druga tura bez Bążura
drhIr2sYbzU,1 dzień temu,@patrykwasilczyk9421,"Tylko pała głosuje na Rafała.
Druga tura bez bążura."
Bo_BY3jPsSY,2 tygodnie temu,@GeraldOfRiviera,DRUGA TURA BEZ BĄŻURA!
Bo_BY3jPsSY,2 tygodnie temu,@GeraldOfRiviera,DRUGA TURA BEZ BĄŻURA!
-JH9onEuq9M,2 dni temu,@KapitanEuropa,Druga tura bez Bążura!!! Niemożliwe nie istnieje!
-JH9onEuq9M,5 dni temu,@Struganowy,"DRUGA TURA BEZ BĄŻURA!!! 
🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱"
